id;map;mode;playlist;interaction;rank;outcome;kills;deaths;assists;betrayals;suicides;spawns;max_killing_spree;vehicles_destroyed;vehicles_hijacked;total_medals;unique_medals;objectives_completed;damage_taken;damage_dealt;shots_fired;shots_hit;shots_missed;shots_accuracy;round_won;round_lost;round_tied;kills_melee;kills_grenades;kills_headshots;kills_power_weapons;kills_sticks;kills_assassinations;kills_splatters;kills_repulsor;kills_fusion_coils;kdr;kda;avg_life_duration;score;points;joined_in_progress;joined_at;left_at;present_at_beginning;game_completed;kills_expected;kills_expected_sd;deaths_expected;deaths_expected_sd;season;duration;started_at;ended_at
2d4c2cf4-91b0-4aca-a1a6-5a42bb018589;Forbidden;Ranked:CTF 3 Captures;Ranked Arena;pvp;4;win;31;26;8;0;0;28;6;0;0;19;11;0;8532;8473;293;168;125;57.33788395904437;1;0;1;1;2;23;5;0;1;0;0;0;1.1923076923076923;7.66;26;3805;0;False;2023-11-25T23:14:29.154Z;;True;True;25.681899510588785;6.302645902029649;23.305790052733556;6.302645902029649;Season5-Op1;1043;2023-11-25T23:14:29.147Z;2023-11-25T23:32:00.191Z
1d9bb74b-70a4-4f35-8c85-e67ffd010b86;Recharge;Ranked:Oddball;Ranked Arena;pvp;5;loss;24;33;14;0;0;36;3;0;0;8;5;0;10202;9206;393;221;172;56.234096692111954;1;2;0;1;2;15;0;1;2;0;0;0;0.7272727272727273;-4.33;24;3905;88;False;2023-11-25T22:43:30.538Z;;True;True;31.68022173998705;6.994932794623764;31.901307108193514;6.994932794623764;Season5-Op1;1252;2023-11-25T22:43:30.538Z;2023-11-25T23:04:37.998Z
b78b1dab-5abc-44bf-bdca-d3e18f7f4ec5;Recharge;Ranked:Slayer;Ranked Arena;pvp;8;loss;5;16;7;0;0;16;1;0;0;1;1;0;4579;3128;143;69;74;48.25174825174825;0;1;0;0;0;4;0;0;0;0;0;0;0.3125;-8.66;19;850;5;False;2023-11-25T22:33:54.598Z;;True;True;11.079266119527603;4.110765591278639;11.424565917951131;4.110765591278639;Season5-Op1;466;2023-11-25T22:33:54.597Z;2023-11-25T22:41:41.432Z
a790c2ea-e86a-4e48-85ee-f2bdf546b0a2;Solitude;Ranked:Strongholds;Ranked Arena;pvp;1;win;15;5;6;0;0;6;5;0;0;8;7;0;2496;3718;136;85;51;62.5;1;0;0;0;0;11;2;0;1;0;0;0;3;12;47;2075;0;False;2023-11-25T22:25:13.133Z;;True;True;10.195770775244892;3.6345606138492554;8.695229534238694;3.6345606138492554;Season5-Op1;372;2023-11-25T22:25:13.126Z;2023-11-25T22:31:25.178Z
cfae7232-ac37-4eff-8929-05d7377b8421;Live Fire;Ranked:Extraction;Ranked Arena;pvp;5;loss;15;14;4;0;0;15;5;0;0;14;11;0;4771;4448;160;94;66;58.75;0;1;0;2;1;9;0;1;0;0;1;0;1.0714285714285714;2.33;23;2175;0;False;2023-11-25T22:14:24.308Z;;True;True;13.600085011012425;4.351952374977451;12.542304910977318;4.351952374977451;Season5-Op1;518;2023-11-25T22:14:24.301Z;2023-11-25T22:23:02.859Z
b21636fe-a4a8-4dad-8b0a-64c3ae5408d8;Streets;Ranked:Slayer;Ranked Arena;pvp;4;win;8;13;5;0;0;14;2;0;0;4;4;0;4457;3400;153;79;74;51.633986928104584;1;0;0;0;0;4;0;1;0;0;0;0;0.6153846153846154;-3.33;27;1060;8;False;2023-11-25T22:04:36.055Z;;True;True;13.227925175082433;4.349942605575621;12.015038999237678;4.349942605575621;Season5-Op1;516;2023-11-25T22:04:36.047Z;2023-11-25T22:13:12.760Z
24960cb5-6fd6-4dfb-93dd-8fae073f5d10;Solitude;Ranked:Slayer;Ranked Arena;pvp;6;loss;10;11;4;0;0;12;4;0;0;6;4;0;3875;3033;174;95;79;54.59770114942529;0;1;0;2;0;3;0;0;2;0;0;0;0.9090909090909091;0.33;23;1200;10;False;2023-11-25T21:56:35.341Z;;True;True;9.890970430148663;3.8375121848406732;10.015890891665197;3.8375121848406732;Season5-Op1;411;2023-11-25T21:56:35.341Z;2023-11-25T22:03:26.438Z
970c965e-35ec-43ec-9985-83c88249f0fb;Solitude;Ranked:Slayer;Ranked Arena;pvp;1;win;15;7;7;0;0;8;10;0;0;7;7;0;3821;3638;200;107;93;53.5;1;0;0;0;1;10;2;0;0;0;0;0;2.142857142857143;10.33;51;1870;15;False;2023-11-25T21:42:54.050Z;;True;True;13.015201244766624;4.274434546902491;11.45552473617366;4.274434546902491;Season5-Op1;499;2023-11-25T21:42:54.043Z;2023-11-25T21:51:13.420Z
194bcf6a-1177-4300-a850-865e6acdb2e2;Live Fire;Ranked:King of the Hill;Ranked Arena;pvp;2;win;10;5;6;0;0;5;4;0;0;5;4;0;2598;3300;122;66;56;54.09836065573771;1;0;0;0;0;7;1;0;0;0;0;0;2;7;60;1535;3;False;2023-11-25T21:33:33.030Z;;True;True;10.86550053977314;3.6281586357260625;7.663976001959613;3.6281586357260625;Season5-Op1;372;2023-11-25T21:33:33.020Z;2023-11-25T21:39:45.301Z
20e109cb-8549-4fb7-a493-8143f82f640e;Recharge;Ranked:King of the Hill;Ranked Arena;pvp;5;loss;18;20;9;0;0;20;3;0;0;4;3;0;6708;4773;218;123;95;56.42201834862385;0;1;0;1;1;13;0;0;1;0;0;0;0.9;1;24;2425;2;False;2023-11-25T21:20:17.528Z;;True;True;18.15223963791311;5.209647307105643;19.002302008099583;5.209647307105643;Season5-Op1;714;2023-11-25T21:20:17.528Z;2023-11-25T21:32:12.498Z
